ell,TT,EE,BB,TE
2.070000000000000000e+02,4.733674603519004449e+03,6.679699348563635786e-01,1.449397390634544168e-02,-1.301870565227900345e+00
2.080000000000000000e+02,4.741892139833451438e+03,6.782078900056422999e-01,1.464744135429884436e-02,-7.178421458256668830e-02
2.090000000000000000e+02,4.749590843892186058e+03,6.895927462784324780e-01,1.480154053844300738e-02,1.173705053084229677e+00
2.100000000000000000e+02,4.756755396722074693e+03,7.021592068375747120e-01,1.495625871429513525e-02,2.434090720180781542e+00
2.110000000000000000e+02,4.763392763853753422e+03,7.159412226777930321e-01,1.511158293522067361e-02,3.708875296131145305e+00
2.120000000000000000e+02,4.769517338736069178e+03,7.309705069878791317e-01,1.526750004530626550e-02,4.997548035670171807e+00
2.130000000000000000e+02,4.775128657806921183e+03,7.472817350372713552e-01,1.542399667253871801e-02,6.299607227202897342e+00
2.140000000000000000e+02,4.780233685670812520e+03,7.649088300524522488e-01,1.558105922161856678e-02,7.614545339368874899e+00
2.150000000000000000e+02,4.784831958528871837e+03,7.838782777629805798e-01,1.573867386705684809e-02,8.941826739205620100e+00
2.160000000000000000e+02,4.788908155961353259e+03,8.042321543588645261e-01,1.589682654621587740e-02,1.028090849468595280e+01
2.170000000000000000e+02,4.792461814462029906e+03,8.259969275010816681e-01,1.605550295291341412e-02,1.163122552110961117e+01
2.180000000000000000e+02,4.795492470870196485e+03,8.491990559491912061e-01,1.621468853129069340e-02,1.299232429442833059e+01
2.190000000000000000e+02,4.797992234150467993e+03,8.738798463645101045e-01,1.637436847010132271e-02,1.436357314852813793e+01
2.200000000000000000e+02,4.799953213869071988e+03,9.000657400221507842e-01,1.653452769787237125e-02,1.574450398219740777e+01
2.210000000000000000e+02,4.801382377014866506e+03,9.277831696354402746e-01,1.669515087861635216e-02,1.713442598767815994e+01
2.220000000000000000e+02,4.802264406361641704e+03,9.570734161910474658e-01,1.685622240845699449e-02,1.853294563784877624e+01
2.230000000000000000e+02,4.802606270674737971e+03,9.879554673432777712e-01,1.701772641312983281e-02,1.993929813726123612e+01
2.240000000000000000e+02,4.802414939755683008e+03,1.020463159321788105e+00,1.717964674650317505e-02,2.135301597611138646e+01
2.250000000000000000e+02,4.801689956176295709e+03,1.054615463697865296e+00,1.734196699036029063e-02,2.277333466454886590e+01
2.260000000000000000e+02,4.800423435350840919e+03,1.090453629314232176e+00,1.750467045507899180e-02,2.419978700290318585e+01
2.270000000000000000e+02,4.798622350645684492e+03,1.128004040723144641e+00,1.766774018179164199e-02,2.563168309924311217e+01
2.280000000000000000e+02,4.796286248373194212e+03,1.167285646737090898e+00,1.783115894576496260e-02,2.706840750532915507e+01
